<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,CLOSE,<VOL>
20210922,000000,22.4900000,23.1500000,22.4550000,22.6900000,49036
20210923,000000,22.7000000,22.8800000,22.4650000,22.5650000,41474
20210924,000000,22.5600000,22.7900000,22.0900000,22.4150000,39904
20210926,000000,22.3950000,22.4500000,22.3900000,22.4150000,738
20210927,000000,22.4100000,22.8650000,22.4100000,22.6400000,33417
20210928,000000,22.6400000,22.6800000,22.0800000,22.5000000,53657
20210929,000000,22.5050000,22.5650000,21.4100000,21.5550000,76606
20210930,000000,21.5550000,22.2250000,21.4600000,22.0900000,62993
20211001,000000,22.0950000,22.6000000,21.9900000,22.5650000,40681
20211003,000000,22.6000000,22.8050000,22.5400000,22.6800000,1642
20211004,000000,22.6850000,22.7300000,22.2900000,22.6350000,32850
20211005,000000,22.6400000,22.6800000,22.3800000,22.6300000,23965
20211006,000000,22.6300000,22.7000000,22.1850000,22.6800000,37430
20211007,000000,22.6800000,22.8400000,22.3850000,22.6050000,38282
20211008,000000,22.6050000,23.2200000,22.4350000,22.6850000,65076
20211010,000000,22.6850000,22.7450000,22.5750000,22.6150000,1433
20211011,000000,22.6200000,22.8300000,22.4950000,22.5650000,26697
20211012,000000,22.5650000,22.7900000,22.3250000,22.5400000,40204
20211013,000000,22.5400000,23.2850000,22.4800000,23.0800000,66632
20211014,000000,23.0800000,23.6250000,22.9250000,23.5500000,50823
20211015,000000,23.5500000,23.6450000,23.1000000,23.3500000,47952
20211017,000000,23.3800000,23.4250000,23.3450000,23.3950000,1018
20211018,000000,23.3900000,23.4950000,23.0350000,23.2350000,44293
20211019,000000,23.2350000,24.1800000,23.2300000,23.6900000,74698
20211020,000000,23.6850000,24.4950000,23.6150000,24.3550000,68704
20211021,000000,24.3600000,24.5500000,24.0700000,24.2200000,55889
20211022,000000,24.2200000,24.9200000,24.1850000,24.3900000,76963
20211024,000000,24.3950000,24.4700000,24.3650000,24.4550000,1079
20211025,000000,24.4550000,24.6950000,24.3650000,24.6350000,41315
20211026,000000,24.6350000,24.6400000,23.9250000,24.2050000,58320
20211027,000000,24.2050000,24.3300000,23.9050000,24.1050000,45383
20211028,000000,24.1050000,24.3100000,24.0200000,24.1200000,42755
20211029,000000,24.1150000,24.1300000,23.7050000,23.9650000,53870
20211031,000000,23.9850000,23.9900000,23.8100000,23.8350000,1024
20211101,000000,23.8400000,24.1750000,23.8150000,24.1000000,33849
20211102,000000,24.1000000,24.1400000,23.4300000,23.5650000,58246
20211103,000000,23.5600000,23.7650000,23.0450000,23.7600000,57794
20211104,000000,23.7600000,24.1150000,23.4850000,23.8450000,62854
20211105,000000,23.8350000,24.2550000,23.6650000,24.2450000,58192
20211107,000000,24.2850000,24.2900000,24.2100000,24.2150000,827
20211108,000000,24.2150000,24.5900000,24.1300000,24.5300000,44880
20211109,000000,24.5300000,24.5650000,24.0900000,24.3650000,49798
20211110,000000,24.3600000,25.2200000,24.0400000,24.7100000,113354
20211111,000000,24.7100000,25.3650000,24.6450000,25.3400000,65147
20211112,000000,25.3350000,25.4700000,24.9250000,25.4100000,60888
20211114,000000,25.4250000,25.4650000,25.3800000,25.4250000,857
20211115,000000,25.4250000,25.4400000,24.9700000,25.1250000,57412
20211116,000000,25.1300000,25.4900000,24.8250000,24.8800000,68077
20211117,000000,24.8750000,25.2850000,24.8600000,25.1250000,44493
20211118,000000,25.1250000,25.2300000,24.7300000,24.8800000,47637
20211119,000000,24.8750000,25.0400000,24.6100000,24.6300000,53193
20211121,000000,24.6700000,24.6950000,24.5500000,24.6450000,1338
20211122,000000,24.6500000,24.9550000,24.1400000,24.2650000,63508
20211123,000000,24.2550000,24.3400000,23.2800000,23.6650000,74070
20211124,000000,23.6700000,23.7350000,23.4000000,23.5850000,37268
20211125,000000,23.5850000,23.7350000,23.5150000,23.5800000,15245
